,link,keyword,status
41,https://www.libertaddigital.com/chic/entretenimiento/2019-09-17/?utm_source=GEN_D&utm_medium=menu&utm_campaign=menu,negro de mierda,Éxito en la búsqueda
42,http://www.libertaddigital.com/nacional/manifestaciones-caceroladas-e-insultos-a-carod-1276291989/,negro de mierda,Éxito en la búsqueda
43,http://www.libertaddigital.com/deportes/liga/2014-11-03/un-entrenador-del-atletico-llama-gitano-a-un-jugador-del-real-madrid-1276532396/,negro de mierda,Éxito en la búsqueda
44,http://www.libertaddigital.com/sociedad/2011-09-29/pujol-indignado-con-un-camarero-que-hablo-en-castellano-a-un-negro-1276436685/,negro de mierda,Éxito en la búsqueda
45,https://www.libertaddigital.com/economia/moncloa-debe-reducir-salarios-e-imponer-el-copago-en-sanidad-1276391747/4.html,negro de mierda,Éxito en la búsqueda
46,https://www.libertaddigital.com/nacional/rajoy-llega-a-tve-para-responder-a-las-cuestiones-de-los-ciudadanos-1276355017/2.html,negro de mierda,Éxito en la búsqueda
47,https://www.libertaddigital.com/opinion/pablo-planas/la-liberacion-nacional-social-y-sexual-78747/,negro de mierda,Éxito en la búsqueda
48,https://www.libertaddigital.com/mundo/2012-01-30/el-gobierno-obama-a-los-catolicos-de-eeuu-a-la-mierda-con-vosotros-1276448526/4.html,negro de mierda,Éxito en la búsqueda
49,http://www.libertaddigital.com/espana/2017-03-23/jorge-bustos-todo-lo-que-toca-pablo-iglesias-lo-convierte-en-mierda-1276595422/,negro de mierda,Éxito en la búsqueda
50,https://www.libertaddigital.com/ciencia-tecnologia/tecnologia/2020-02-05/coltan-espana-industria-tecnologica-1276651892/,negro de mierda,Éxito en la búsqueda
51,https://www.libremercado.com/2019-09-24/muralla-vegana-impide-comprar-clientes-neveras-carne-supermercado-1276645190/,negro de mierda,Éxito en la búsqueda
52,http://m.libertaddigital.com/deportes/liga/2019/05/14/ronaldo-hay-movilizaciones-si-eres-negro-si-eres-gay-pero-nadie-me-defendio-cuando-me-llamaban-gordo-1276638332/,negro de mierda,Éxito en la búsqueda
53,https://www.libertaddigital.com/chic/vida-estilo/2019-06-15/katy-mikhailova-anonimos-insignificantes-88120/,negro de mierda,Éxito en la búsqueda
54,https://www.libertaddigital.com/bitacora/?op=bitacora&q=520&p=14,negro de mierda,Éxito en la búsqueda
55,http://www.libertaddigital.com/espana/2015-06-21/un-presentador-de-tv3-llama-a-los-espanoles-cabrones-de-mierda-y-panda-de-sarnosos-1276551091/,negro de mierda,Éxito en la búsqueda
56,http://www.libertaddigital.com/chic/corazon/2014-09-10/maria-arenales-me-case-con-un-negro-negrisimo-pero-no-me-di-cuenta-1276527948/,negro de mierda,Éxito en la búsqueda
57,https://www.libertaddigital.com/mundo/2012-01-30/el-gobierno-obama-a-los-catolicos-de-eeuu-a-la-mierda-con-vosotros-1276448526/5.html,negro de mierda,Éxito en la búsqueda
58,http://www.libertaddigital.com/cultura/musica/2014-12-22/madonna-mierda-vivimos-una-epoca-de-locos-1276536709/,negro de mierda,Éxito en la búsqueda
59,https://www.libertaddigital.com/foros/nacional/2012/08/18/1345288939.html,negro de mierda,Éxito en la búsqueda
60,https://www.libertaddigital.com/organismos/pnv-partido-nacionalista-vasco/198.html,negro de mierda,Éxito en la búsqueda
61,https://www.libertaddigital.com/sociedad/2012-04-16/hackers-antitaurinos-atacan-la-web-de-francisco-rivera-1276455883/2.html,negro de mierda,Éxito en la búsqueda
62,https://www.libertaddigital.com/opinion/juan-carlos-girauta/frente-del-odio-de-montilla-a-montoya-36444/,negro de mierda,Éxito en la búsqueda
63,https://www.libertaddigital.com/deportes/henry-asimila-el-discurso-de-laporta-cataluna-no-es-espana-es-otra-cosa-1276351978/10.html,negro de mierda,Éxito en la búsqueda
64,https://www.libertaddigital.com/bitacora/index.php?q=594&p=9,negro de mierda,Éxito en la búsqueda
65,https://www.libertaddigital.com/sociedad/corbacho-amenaza-a-los-parados-que-no-acepten-una-oferta-de-trabajo-1276398678/1.html,negro de mierda,Éxito en la búsqueda
66,https://www.libremercado.com/2012-07-21/el-ajuste-no-cuadra-en-las-filas-populares-el-rescate-es-inevitable-1276464394/1.html,negro de mierda,Éxito en la búsqueda
67,https://www.libertaddigital.com/sociedad/un-nuevo-boicot-sindical-lleva-a-telemadrid-a-otra-jornada-en-negro-1276356793/1.html,negro de mierda,Éxito en la búsqueda
68,https://www.libertaddigital.com/foros/internacional/2012/11/18/1353249250.html,negro de mierda,Éxito en la búsqueda
69,https://www.libertaddigital.com/deportes/2012-01-07/el-liverpool-otra-vez-envuelto-en-una-polemica-racista-1276446136/1.html,negro de mierda,Éxito en la búsqueda
70,https://www.libertaddigital.com/bitacora/denuncio/index.php?q=605&p=7,negro de mierda,Éxito en la búsqueda
71,https://www.libertaddigital.com/opinion/anne-bayefsky/una-victoria-de-hamas-en-el-consejo-de-derechos-humanos-de-la-onu-65245/1.html,negro de mierda,Éxito en la búsqueda
72,https://www.libertaddigital.com/sociedad/el-privilegiado-miguel-bose-cuando-veo-a-un-mantero-llamo-a-la-policia-1276386717/4.html,negro de mierda,Éxito en la búsqueda
73,https://www.libertaddigital.com/mundo/demoledora-critica-a-la-presidencia-de-turno-espanola-zapatero-parecio-tonto-1276396338/7.html,negro de mierda,Éxito en la búsqueda
74,https://tv.libertaddigital.com/videos/2019-04-27/la-artista-sofia-rincon-y-el-simpatizante-de-vox-bertrand-ndongo-cantan-el-rap-viral-superfacha-satira-contra-los-progres-y-los-complejos-de-la-derecha-6069512.html,negro de mierda,Éxito en la búsqueda
75,https://www.libremercado.com/2012-03-15/ernst-young-asegura-que-espana-estara-en-recesion-hasta-2014-1276453072/1.html,negro de mierda,Éxito en la búsqueda
76,http://www.libertaddigital.com/sociedad/un-joven-judio-es-agredido-en-madrid-por-una-mujer-que-presumio-de-ser-del-psoe-1276385545/,negro de mierda,Éxito en la búsqueda
77,https://www.libertaddigital.com/sociedad/2012-02-22/la-pregunta-de-un-nino-de-siete-anos-le-vale-una-acusacion-de-racismo-1276450860/6.html,negro de mierda,Éxito en la búsqueda
78,https://www.libertaddigital.com/mundo/chavez-expulsa-al-embajador-de-eeuu-en-solidaridad-con-bolivia-1276338321/1.html,negro de mierda,Éxito en la búsqueda
79,https://www.libertaddigital.com/economia/el-dinero-negro-vuelve-salgado-hace-trampas-y-corbacho-la-maleta-solana-presidente-1276395647/2.html,negro de mierda,Éxito en la búsqueda
80,https://www.libertaddigital.com/espana/2016-08-12/dos-heridos-en-un-tiroteo-en-zaragoza-1276580348/,negro de mierda,Éxito en la búsqueda
81,http://www.libertaddigital.com/espana/2016-02-09/el-metodo-podemos-si-alguien-levanta-la-voz-se-le-llama-facha-y-se-le-manda-a-la-mierda-1276567376/,negro de mierda,Éxito en la búsqueda
82,https://www.libertaddigital.com/espana/2013-09-17/unos-250-inmigrantes-intentan-saltar-la-valla-de-melilla-1276499558/,negro de mierda,Éxito en la búsqueda
83,https://www.libertaddigital.com/bitacora/?op=bitacora&q=615&p=22,negro de mierda,Éxito en la búsqueda
84,https://www.libertaddigital.com/nacional/blanco-zapatero-sera-el-futuro-de-este-pais-1276399567/3.html,negro de mierda,Éxito en la búsqueda
85,https://www.libertaddigital.com/nacional/los-musulmanes-piden-que-la-fiesta-del-sacrificio-sea-dia-festivo-en-ceuta-1276370338/1.html,negro de mierda,Éxito en la búsqueda
86,https://www.libertaddigital.com/opinion/agapito-maestre/inmoralidad-de-los-politicos-y-de-la-sociedad-61300/1.html,negro de mierda,Éxito en la búsqueda
87,http://www.libertaddigital.com/espana/politica/2017-11-02/la-jueza-manda-a-prision-a-junqueras-y-los-ocho-exconsejeros-que-han-comparecido-en-la-an-1276608482/,negro de mierda,Éxito en la búsqueda
