,link,keyword,status
0,https://www.elmundo.es/comunidad-valenciana/2020/03/01/5e5ba90021efa0ad2d8b468e.html,negro de mierda,Éxito en la búsqueda
1,https://www.elmundo.es/loc/celebrities/2019/12/31/5e0a1bb4fdddffc8888b4625.html,negro de mierda,Éxito en la búsqueda
